CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
4,Company_4,Technology,Africa,2024,6555.1,26,45451.6,12.2,63.5,100,64.8,25.6,163877.9,98326.7,327755.8
4,Company_4,Technology,Africa,2025,7675.6,22.9,42400.4,17.1,64.1,100,65.4,27,191891.1,115134.7,383782.3
5,Company_5,Finance,Middle East,2015,2720.9,16.1,3884.5,,43.5,71.9,19.1,39.4,37894.7,18947.3,94736.7
5,Company_5,Finance,Middle East,2016,2647.4,17.6,9275.6,-2.7,42.5,74.2,16,37.4,36048.3,18024.2,90120.8
5,Company_5,Finance,Middle East,2017,2553.4,19.9,9760.9,-3.6,44.3,74.7,18.7,39.6,34565.5,17282.7,86413.7
5,Company_5,Finance,Middle East,2018,2758.9,22.6,7367.6,8.1,45.4,75.8,18.7,41.8,36945.9,18472.9,92364.7
5,Company_5,Finance,Middle East,2019,2746.9,21.3,11365.5,-0.4,46,77,20.4,40.7,36325.1,18162.6,90812.9
5,Company_5,Finance,Middle East,2020,3243,19.3,10066.1,18.1,46.8,75.5,22.5,42.5,43534.1,21767,108835.2
5,Company_5,Finance,Middle East,2021,3120.1,19.3,8787.3,-3.8,47.5,78.5,22.7,41.3,40596.3,20298.2,101490.8
5,Company_5,Finance,Middle East,2022,3094.2,20.1,9600.4,-0.8,47.6,78.4,22.3,42.3,40314,20157,100785.1
5,Company_5,Finance,Middle East,2023,3281.7,21.9,6441.8,6.1,45.9,76.5,20,41.3,43628.2,21814.1,109070.6
5,Company_5,Finance,Middle East,2024,3282.1,22.5,9663,0,47.4,80.4,19.9,41.8,41818.8,20909.4,104546.9
5,Company_5,Finance,Middle East,2025,3162.1,22.4,6674.6,-3.7,48,82.1,18.7,43.3,39561.3,19780.6,98903.2
6,Company_6,Transportation,Oceania,2015,2339.1,0.8,256.7,,69.1,56.9,76.8,73.7,1125550.2,187591.7,3751834
6,Company_6,Transportation,Oceania,2016,2574.5,-1,11890.9,10.1,68.4,56.1,76.9,72.2,1246956.8,207826.1,4156522.6
6,Company_6,Transportation,Oceania,2017,2508.9,-4,3844.3,-2.6,68.7,60.3,75.8,70,1171117,195186.2,3903723.3
6,Company_6,Transportation,Oceania,2018,2472.4,-8.2,1595.7,-1.5,66.9,60,73.1,67.5,1157116.5,192852.8,3857055.1
6,Company_6,Transportation,Oceania,2019,2598.8,-8.5,8095.7,5.1,68.7,62.3,73.8,70.1,1191171.2,198528.5,3970570.6
6,Company_6,Transportation,Oceania,2020,2563.3,-11.4,10251.2,-1.4,70.5,64,74.3,73.3,1156823.6,192803.9,3856078.8
6,Company_6,Transportation,Oceania,2021,2466.6,-8.5,7550,-3.8,70.8,64.2,75.3,72.9,1110593.7,185099,3701979
6,Company_6,Transportation,Oceania,2022,2747.5,-7.9,12663.9,11.4,72.5,68.4,77,72.1,1188684.3,198114,3962281
6,Company_6,Transportation,Oceania,2023,3009.5,-9.8,4910,9.5,71.7,68.1,75.7,71.2,1305812.3,217635.4,4352707.7
6,Company_6,Transportation,Oceania,2024,3095.6,-8.6,2201.1,2.9,69.5,62.2,75.7,70.7,1420617.4,236769.6,4735391.3
6,Company_6,Transportation,Oceania,2025,3297,-10,7887.8,6.5,73.1,68.2,77.4,73.6,1428863.2,238143.9,4762877.2
7,Company_7,Healthcare,Oceania,2015,4664.1,6.2,4597.8,,53,74.6,37.1,47.5,316163.3,316163.3,632326.6
7,Company_7,Healthcare,Oceania,2016,5080.6,9,6228.6,8.9,52.4,72.7,38.3,46.1,351094.3,351094.3,702188.6
7,Company_7,Healthcare,Oceania,2017,5192,6.4,7750.2,2.2,53.9,77.8,38.1,45.7,340222.4,340222.4,680444.7
7,Company_7,Healthcare,Oceania,2018,5320.5,4.3,2608,2.5,53.4,77.7,38.4,44.2,349079,349079,698158.1
7,Company_7,Healthcare,Oceania,2019,5421.6,1.3,1267,1.9,54.4,78.5,39,45.7,352693.8,352693.8,705387.6
7,Company_7,Healthcare,Oceania,2020,6225.1,3.5,4571.3,14.8,53.9,78.3,38.5,45,406012.5,406012.5,812025.1
7,Company_7,Healthcare,Oceania,2021,6470.9,-2.3,21238.4,3.9,53.3,78,34.6,47.2,423188.3,423188.3,846376.6
7,Company_7,Healthcare,Oceania,2022,6387.4,-2.2,18488.5,-1.3,53.9,80.9,34.8,45.8,404596.4,404596.4,809192.9
7,Company_7,Healthcare,Oceania,2023,6014.8,-1.7,10294.8,-5.8,53.7,81.6,35.2,44.2,378353.9,378353.9,756707.8
7,Company_7,Healthcare,Oceania,2024,6084.6,-3.6,27425.5,1.2,55.8,81.9,39.1,46.5,381475.3,381475.3,762950.7
7,Company_7,Healthcare,Oceania,2025,6444.2,0.1,38,5.9,58.4,87.6,41.6,46.1,378090.2,378090.2,756180.5
8,Company_8,Healthcare,Europe,2015,7090.7,10.6,14828.8,,74.4,69.4,87.8,66.1,506391,506391,1012782
8,Company_8,Healthcare,Europe,2016,7395.2,10.4,17692.4,4.3,75.5,69.3,89.8,67.6,528938.5,528938.5,1057876.9
8,Company_8,Healthcare,Europe,2017,7077.8,10.7,14011.4,-4.3,76.8,71.8,92.2,66.6,493832.6,493832.6,987665.3
8,Company_8,Healthcare,Europe,2018,6957.5,8.2,9292.2,-1.7,76.6,69.5,92.8,67.6,496422.5,496422.5,992845
8,Company_8,Healthcare,Europe,2019,6690.8,9.7,8033.5,-3.8,77,67.2,98.8,64.9,488275.3,488275.3,976550.7
8,Company_8,Healthcare,Europe,2020,6751.9,8.7,7083.4,0.9,78.5,70.2,98.2,67,478492.5,478492.5,956984.9
8,Company_8,Healthcare,Europe,2021,6397.5,10.1,10983.2,-5.2,78.2,74.1,95.1,65.5,435991,435991,871982
8,Company_8,Healthcare,Europe,2022,6583.8,10.3,8606.9,2.9,79.6,75.2,95.3,68.3,443275.8,443275.8,886551.6
8,Company_8,Healthcare,Europe,2023,6810.4,11.1,9866,3.4,79.6,75.4,95.2,68.2,457696.4,457696.4,915392.8
8,Company_8,Healthcare,Europe,2024,7168.5,13.7,17539,5.3,81.4,78.2,95,71.1,468000.4,468000.4,936000.8
8,Company_8,Healthcare,Europe,2025,7117.1,8.6,10386.3,-0.7,81.6,77.1,97.6,69.9,469707.3,469707.3,939414.6
9,Company_9,Technology,North America,2015,1490.2,11.9,4559,,59.8,37.8,77.7,63.7,69681.3,41808.8,139362.7
9,Company_9,Technology,North America,2016,1761.8,9.7,4234.3,18.2,58.8,38,78.7,59.7,82263.8,49358.3,164527.5
9,Company_9,Technology,North America,2017,2085,15.3,7991.2,18.3,60.2,37.2,77.2,66.2,97986.2,58791.7,195972.4
9,Company_9,Technology,North America,2018,2575.4,14.1,5543,23.5,63.5,40.8,81.7,68.1,117733.8,70640.3,235467.6
9,Company_9,Technology,North America,2019,3208.8,11.2,8416.4,24.6,63.3,40.5,83.8,65.6,147097.1,88258.2,294194.1
9,Company_9,Technology,North America,2020,3584.9,10.1,10662.5,11.7,63.1,39.7,84.7,64.9,165277.3,99166.4,330554.5
9,Company_9,Technology,North America,2021,4399.8,8.5,7008.7,22.7,63.8,39.7,84.3,67.3,202835.4,121701.3,405670.9
9,Company_9,Technology,North America,2022,4673,6.7,8480.9,6.2,65.3,43.5,83.4,69,209222.4,125533.4,418444.8
9,Company_9,Technology,North America,2023,5102.1,4.4,5222,9.2,63.3,45,80.8,64,225770.9,135462.6,451541.9
9,Company_9,Technology,North America,2024,5853.9,6.3,5804.7,14.7,63.2,45.6,81.9,62.1,257772.5,154663.5,515545
9,Company_9,Technology,North America,2025,6764,4.5,5954.9,15.5,63.5,48.4,82.6,59.6,291193.2,174715.9,582386.4
10,Company_10,Technology,Latin America,2015,48720,11.9,186028.6,,62.2,81.7,62.5,42.5,1530517.6,918310.6,3061035.3
10,Company_10,Technology,Latin America,2016,56121.2,9.4,134112.7,15.2,64.8,79.6,68.6,46.2,1803672,1082203.2,3607344.1
10,Company_10,Technology,Latin America,2017,60556.9,8.6,86036,7.9,65,79.2,67.5,48.5,1955375.5,1173225.3,3910751
10,Company_10,Technology,Latin America,2018,65683.3,11,223764.9,8.5,65.1,79.7,70,45.8,2109725.6,1265835.4,4219451.2
10,Company_10,Technology,Latin America,2019,72498.6,11,215468.5,10.4,64.2,77.8,72.1,42.5,2374857.6,1424914.5,4749715.1
10,Company_10,Technology,Latin America,2020,79033.4,13.5,313712.7,9,65.8,81.3,73.5,42.4,2492114.3,1495268.6,4984228.6
10,Company_10,Technology,Latin America,2021,79619.8,12,263994,0.7,67,81.8,75.4,43.9,2497067.9,1498240.8,4994135.9
10,Company_10,Technology,Latin America,2022,93510.8,14.4,446629.1,17.4,67.1,79.8,78.1,43.5,2998092.6,1798855.6,5996185.2
10,Company_10,Technology,Latin America,2023,108029.1,17.3,416982,15.5,67.4,79.5,77.9,44.9,3476430.3,2085858.2,6952860.6
10,Company_10,Technology,Latin America,2024,117939.2,14.9,610070,9.2,68.6,77.8,78.2,50,3864217,2318530.2,7728434
10,Company_10,Technology,Latin America,2025,104787.3,17.1,412517.1,-11.2,69.6,80.9,79.9,48.1,3319085.3,1991451.2,6638170.6
11,Company_11,Energy,Europe,2015,1102.8,11,1367.9,,59.5,44.6,75.4,58.5,978737.8,293621.3,9787378.2
11,Company_11,Energy,Europe,2016,833.7,7.9,657,-24.4,60.1,45.7,75.2,59.4,733816.9,220145.1,7338168.9
11,Company_11,Energy,Europe,2017,621.3,10.8,849.4,-25.5,58.6,44.8,73,58,550492.2,165147.7,5504921.9
11,Company_11,Energy,Europe,2018,571.5,6,551.3,-8,61.2,51.1,73.7,58.8,481346.8,144404,4813468.2
11,Company_11,Energy,Europe,2019,507.9,-1.6,371.5,-11.1,64.3,57.2,74,61.6,405962.7,121788.8,4059626.6
11,Company_11,Energy,Europe,2020,404.5,-1.7,1455.4,-20.3,64.8,61.8,71.4,61.3,310497.4,93149.2,3104974.2
11,Company_11,Energy,Europe,2021,356.4,0.9,54.4,-11.9,64.4,64,68.7,60.4,267955.8,80386.7,2679558.1
11,Company_11,Energy,Europe,2022,295.3,0.6,17,-17.1,66.2,66.3,71.4,61.1,217375.8,65212.7,2173758.1
11,Company_11,Energy,Europe,2023,266.7,3.7,155.1,-9.7,67.7,68.9,72.8,61.5,191370.2,57411.1,1913701.7
11,Company_11,Energy,Europe,2024,194.5,5.8,114.8,-27.1,69.2,70.3,74.9,62.2,137628.4,41288.5,1376284.1
11,Company_11,Energy,Europe,2025,170.6,4.7,158.9,-12.3,70.3,71.3,76.8,62.8,119639.5,35891.8,1196394.7
12,Company_12,Finance,Asia,2015,3081.4,9.4,2730.3,,52.8,90.4,43.2,24.7,34963.6,17481.8,87409
12,Company_12,Finance,Asia,2016,3202,10.8,6084.8,3.9,54.1,91.5,42.7,28,35841.1,17920.6,89602.8
12,Company_12,Finance,Asia,2017,3731.1,10.1,6952.2,16.5,51.9,89.1,39.7,26.8,42998.9,21499.4,107497.2
12,Company_12,Finance,Asia,2018,3934.3,9.5,4269.2,5.4,50.8,88.5,38.2,25.7,45675.8,22837.9,114189.6
12,Company_12,Finance,Asia,2019,3908.6,9.9,4904,-0.7,51.1,87.4,40,25.9,46001.9,23001,115004.8
12,Company_12,Finance,Asia,2020,3655.5,14.6,5327.5,-6.5,51.8,87,40.9,27.4,43190.8,21595.4,107977
12,Company_12,Finance,Asia,2021,3718.8,19.5,7799.8,1.7,52.1,87,40.2,29,43956.7,21978.3,109891.6
12,Company_12,Finance,Asia,2022,3533.5,18.5,12821.9,-5,53.2,87.7,43.5,28.4,41437.8,20718.9,103594.6
12,Company_12,Finance,Asia,2023,3302.9,19.4,11416.2,-6.5,54.5,87.3,42.6,33.6,38923.6,19461.8,97309.1
12,Company_12,Finance,Asia,2024,3517.8,17.7,11569.2,6.5,54.6,88.6,41.9,33.3,40801.4,20400.7,102003.4
12,Company_12,Finance,Asia,2025,3577.8,18.4,10452.9,1.7,53.6,87.9,42.6,30.3,41848.9,20924.4,104622.2
13,Company_13,Consumer Goods,Asia,2015,497.7,9.9,550.8,,44.6,80.2,23,30.7,63581.8,79477.3,317909.1
13,Company_13,Consumer Goods,Asia,2016,568.6,10.5,1184.3,14.3,46.9,82.8,24.5,33.3,70541,88176.2,352704.9
13,Company_13,Consumer Goods,Asia,2017,690.7,13.2,1132.3,21.5,47.2,85.1,24.3,32.1,83465.7,104332.1,417328.4
13,Company_13,Consumer Goods,Asia,2018,739.2,14.2,2343.1,7,48.8,86.2,27.3,33,88238.5,110298.1,441192.6
13,Company_13,Consumer Goods,Asia,2019,833.5,11.5,1872.2,12.7,51.1,88.7,30.8,34,96578.4,120723,482892.1
13,Company_13,Consumer Goods,Asia,2020,954,10.7,1851.3,14.5,52.3,89.5,31.9,35.7,109460.7,136825.9,547303.5
13,Company_13,Consumer Goods,Asia,2021,1086,9.8,1547.5,13.8,53,90.9,31.6,36.5,122495.9,153119.8,612479.3
13,Company_13,Consumer Goods,Asia,2022,1067.8,11.7,2422.7,-1.7,54.6,90.7,32.9,40.2,120619.7,150774.7,603098.7
13,Company_13,Consumer Goods,Asia,2023,1194.6,10.6,1792.2,11.9,55.6,95.5,30.9,40.3,126979.9,158724.9,634899.7
13,Company_13,Consumer Goods,Asia,2024,1402.8,12.6,2355,17.4,55.2,97,30.3,38.2,146186.4,182733,730932.2
13,Company_13,Consumer Goods,Asia,2025,1671.6,13.9,3789.7,19.2,56.1,97.8,28.3,42.1,172327.4,215409.2,861637
14,Company_14,Transportation,Middle East,2015,774.9,6.2,902.2,,38.5,20.8,60,34.8,490364.3,81727.4,1634547.6
14,Company_14,Transportation,Middle East,2016,865.3,3.9,279.9,11.7,40,22.4,60.9,36.7,541578,90263,1805260.1
14,Company_14,Transportation,Middle East,2017,917.5,7.5,643.6,6,39.5,24.2,59.9,34.5,567519.6,94586.6,1891731.9
14,Company_14,Transportation,Middle East,2018,956.1,5.6,802.8,4.2,40.3,25.1,62.1,33.7,587497.8,97916.3,1958326
14,Company_14,Transportation,Middle East,2019,986.3,0.9,70.7,3.2,42,25.8,61.2,39.2,603338.6,100556.4,2011128.7
14,Company_14,Transportation,Middle East,2020,1013.5,3.4,638.5,2.8,41.3,24.6,59.8,39.6,625021.9,104170.3,2083406.3
14,Company_14,Transportation,Middle East,2021,1081.7,0.5,90.6,6.7,42.9,26.6,63.8,38.3,657776.8,109629.5,2192589.4
14,Company_14,Transportation,Middle East,2022,1158.1,-0.1,988.5,7.1,42.7,27.5,62.3,38.3,700213.7,116702.3,2334045.7
14,Company_14,Transportation,Middle East,2023,1404.4,1.5,364,21.3,42.9,27.5,61.9,39.3,849092.3,141515.4,2830307.5
14,Company_14,Transportation,Middle East,2024,1408.8,6,1560.2,0.3,44.8,29.2,64.2,41.1,841594.3,140265.7,2805314.2
14,Company_14,Transportation,Middle East,2025,1623.4,4.7,678.5,15.2,46.1,30.4,66.6,41.2,961413.8,160235.6,3204712.5
15,Company_15,Healthcare,Oceania,2015,5737.2,23.7,15249,,51,75.8,50.4,26.7,384081.3,384081.3,768162.6
15,Company_15,Healthcare,Oceania,2016,5724.4,25.1,29017.6,-0.2,50.6,76.3,47.5,28,381278.5,381278.5,762557
15,Company_15,Healthcare,Oceania,2017,6468.8,23.9,23465.8,13,52.6,80.4,44.9,32.5,412080.4,412080.4,824160.8
15,Company_15,Healthcare,Oceania,2018,6947.3,28.3,45474.5,7.4,54.2,81.1,47.2,34.3,439374.6,439374.6,878749.1
15,Company_15,Healthcare,Oceania,2019,6699.5,32,45050,-3.6,55.6,84.8,48.5,33.4,406070.7,406070.7,812141.4
15,Company_15,Healthcare,Oceania,2020,7409.3,31.3,40312.2,10.6,56.9,86.9,48.2,35.5,438267.5,438267.5,876535.1
15,Company_15,Healthcare,Oceania,2021,6442.6,34.2,27413.4,-13,56.6,84.4,49.5,35.8,392268.1,392268.1,784536.2
15,Company_15,Healthcare,Oceania,2022,7357.3,31.1,33992.8,14.2,57.1,84.5,50.7,36.2,447629.5,447629.5,895258.9
15,Company_15,Healthcare,Oceania,2023,8220.8,31.2,38672.5,11.7,57.6,82.9,50.7,39.2,509178.2,509178.2,1018356.4
15,Company_15,Healthcare,Oceania,2024,9291,27.8,53148.3,13,57.6,83.2,50.5,39,573492.9,573492.9,1146985.9
15,Company_15,Healthcare,Oceania,2025,11489.1,28.7,61972.3,23.7,58.6,85.1,50.4,40.3,694213.6,694213.6,1388427.2
16,Company_16,Energy,Europe,2015,1160.6,16.3,1921.2,,47.2,46.8,38.7,56.1,1012659.6,303797.9,10126595.9
16,Company_16,Energy,Europe,2016,1213.5,14.3,2914.3,4.6,46.9,46.9,38.3,55.5,1057599.4,317279.8,10575993.9
16,Company_16,Energy,Europe,2017,1248.2,14.2,1935.3,2.9,47.5,48.3,39.1,55.1,1075823.2,322747,10758232.4
16,Company_16,Energy,Europe,2018,1320.2,17.3,4087.7,5.8,50.1,49.6,41.3,59.3,1126052.2,337815.6,11260521.6
16,Company_16,Energy,Europe,2019,1268.4,15.1,2918,-3.9,50.8,52.2,41,59.3,1058730.8,317619.3,10587308.4
16,Company_16,Energy,Europe,2020,1265.3,16.6,3606.5,-0.2,51.4,51.6,41.3,61.3,1061247.1,318374.1,10612470.7
16,Company_16,Energy,Europe,2021,1387.7,14.6,2539.7,9.7,52.6,54.6,39.1,64,1135154.7,340546.4,11351546.8
16,Company_16,Energy,Europe,2022,1283.2,20.5,3303.6,-7.5,56.8,59.6,44,66.7,1004250.2,301275,10042501.7
16,Company_16,Energy,Europe,2023,1119,29.3,2683.5,-12.8,57.7,58.3,45.2,69.8,886537.9,265961.4,8865378.6
16,Company_16,Energy,Europe,2024,1219.4,45,10664.6,9,57.7,59.3,45.8,67.9,956950.4,287085.1,9569503.7
16,Company_16,Energy,Europe,2025,1249.8,36.9,5866.9,2.5,59.8,63.6,47,68.8,943634.4,283090.3,9436344.2
17,Company_17,Utilities,Oceania,2015,3577.1,12.7,3876.1,,62.9,55.9,87.3,45.4,2314884,1446802.5,23148840.2
17,Company_17,Utilities,Oceania,2016,3460.1,13,5855.9,-3.3,63.8,57.5,87.7,46.1,2207551.8,1379719.9,22075517.8
17,Company_17,Utilities,Oceania,2017,3855.5,12.2,4729.2,11.4,64.7,59.5,87,47.7,2416031.1,1510019.5,24160311.5
17,Company_17,Utilities,Oceania,2018,3910.5,13.4,4504.2,1.4,65.2,59.6,89.8,46.2,2448835.7,1530522.3,24488357.2
17,Company_17,Utilities,Oceania,2019,4023.2,17.2,9379.8,2.9,65.8,61.4,88.2,47.6,2478297.7,1548936.1,24782977.2
17,Company_17,Utilities,Oceania,2020,4324.4,16.8,9737.7,7.5,66.3,59.2,89.5,50.3,2717984.9,1698740.5,27179848.5
17,Company_17,Utilities,Oceania,2021,4158.1,17.5,9928.2,-3.8,67.5,62,88.8,51.6,2548603.1,1592876.9,25486030.6
17,Company_17,Utilities,Oceania,2022,3932.8,17.1,6485.7,-5.4,67.9,62.8,91.5,49.5,2392036,1495022.5,23920359.9
17,Company_17,Utilities,Oceania,2023,4066.6,15.5,5952.4,3.4,67.7,62.3,89.4,51.5,2484365.5,1552728.5,24843655.2
17,Company_17,Utilities,Oceania,2024,4012.2,15.7,5680.9,-1.3,67.4,64.7,86.8,50.8,2398691,1499181.9,23986910.4
17,Company_17,Utilities,Oceania,2025,4630.8,18.3,6876.5,15.4,68.1,64.8,89.3,50.2,2763980.6,1727487.8,27639805.5
18,Company_18,Energy,Europe,2015,7905.8,7.3,9920.4,,68.6,62.6,81.4,61.8,6022569,1806770.7,60225690
18,Company_18,Energy,Europe,2016,7833.6,1.8,1889.4,-0.9,67.9,65.1,78.9,59.6,5832359.2,1749707.8,58323592.4
18,Company_18,Energy,Europe,2017,8556.8,2.4,2419.7,9.2,68.2,64.4,79.8,60.4,6409746.9,1922924.1,64097469.4
18,Company_18,Energy,Europe,2018,9566.1,-1,22410.1,11.8,69.8,66.5,82.8,60.3,7028856.5,2108656.9,70288564.5
18,Company_18,Energy,Europe,2019,10444.4,0.9,1175.7,9.2,70.1,66,84.8,59.5,7711241.8,2313372.5,77112417.8
18,Company_18,Energy,Europe,2020,11604.7,5,10578.4,11.1,72,65.6,85.6,64.9,8598140.2,2579442.1,85981402.1
18,Company_18,Energy,Europe,2021,12463.7,2.9,4405.9,7.4,70.9,63.5,83.8,65.5,9415470.5,2824641.2,94154705.2
18,Company_18,Energy,Europe,2022,12305.5,0.2,398.7,-1.3,73.3,66.1,85,68.8,9069726.1,2720917.8,90697261.1
18,Company_18,Energy,Europe,2023,11839.6,6.3,10385.7,-3.8,74,68.9,80.9,72.3,8496541.5,2548962.4,84965414.9
18,Company_18,Energy,Europe,2024,13785.1,15.1,20222.1,16.4,74.9,70.4,82.6,71.7,9745915.4,2923774.6,97459154.4
18,Company_18,Energy,Europe,2025,14675.7,12.4,35497.2,6.5,75.6,72.9,83.3,70.8,10126534.1,3037960.2,101265340.7
19,Company_19,Technology,Latin America,2015,69314.3,14.9,340068.5,,48.7,91.8,43,11.2,1931859.7,1159115.8,3863719.4
19,Company_19,Technology,Latin America,2016,71999.1,16.7,180408.7,3.9,48.9,91.9,43.6,11.3,2004620,1202772,4009239.9
19,Company_19,Technology,Latin America,2017,72920.6,12.8,245197.1,1.3,49.9,91.8,42.9,15.1,2033473.4,1220084,4066946.7
19,Company_19,Technology,Latin America,2018,80546.7,9.1,172099.6,10.5,51.2,94.5,41.9,17.3,2168207.9,1300924.7,4336415.8
19,Company_19,Technology,Latin America,2019,92918.5,6.7,171478.9,15.4,51,93,43.7,16.3,2551607.4,1530964.5,5103214.9
19,Company_19,Technology,Latin America,2020,98400.8,8,250697.3,5.9,52,91.9,46,18.2,2738517.5,1643110.5,5477035
19,Company_19,Technology,Latin America,2021,122196.4,5.3,143651.3,24.2,52.9,89,51.9,17.8,3524270.2,2114562.1,7048540.4
19,Company_19,Technology,Latin America,2022,125147.1,4.7,182797,2.4,54.6,87.9,55.8,19.9,3657244.2,2194346.5,7314488.5
